IDS	QUESTIONS	ANSWER	AUDIO	INFO	CLUE	THEME	SUBTYPE	LEVEL	SEQ	TYPE	PERSON	TENSE	COMMENT	0	dedupeExact		dedupeVague															
1010	we must _apply for_	tenemos que _aplicar para_	S1010	infinitive: aplicar para	t q _a p_	work	action	A2	1010	verb				aplicar para	aplic																	
1011	_we are building_ a house	_estamos construyendo_ una casa	S1011	infinitive: construir	_e c_ u c	work	action	A2	1011	verb				construir	const																	
1012	to _deal_ with something	_lidiar_ con algo	S1012	infinitive: lidiar	_l_ c a	work	action	A2	1012	verb				lidiar	lidia																	
1013	to _try_ to avoid	_tratar_ de evitar	S1013	infinitive: tratar	_t_ d e	work	action	A2	1013	verb				tratar	trata																	
1014	I will not _fail_	no voy a _fracasar_	S1014	infinitive: fracasar	n v a _f_	work	action	A2	1014	verb				fracasar	fraca																	
1015	amigo: can you _fix_ it by 6pm?	¿puedes _arreglarlo_ para las 6 de la tarde	S1015	infinitive: arreglar	p _a_ p l 6 d l t	work	action	A2	1015	verb				arreglar_fix	arreg																	
1016	a better _alternative_	una mejor _alternativa_	S1016		u m _a_	shopping	choice	A2	1016	noun				alternativa	alter																	
1017	an _option_ / choice	una _opción_	S1017	morph	u _o_	shopping	choice	A2	1017	noun				opción	opció																	
1018	_neither… nor_	_ni…ni…_	S1018		_n_	shopping	choice	A2	1018	conjunction				ni…ni…	ni…ni																	
1019	_apart from_ breakfast	_aparte de_l desayuno	S1019		_a d_l d	shopping	choice	A2	1019	preposition				aparte de	apart																	
1020	_although_ it's raining	_aunque_ está lloviendo	S1020		_au_ e l	shopping	choice	A2	1020	conjunction				aunque	aunqu																	
1021	_instead of_ a promise	_en lugar de_ una promesa	S1021	in place of	_e l d_ u p	shopping	choice	A2	1021	preposition				en lugar de	en lu																	
1022	amigo: _as much as_ you want	_tanto como_ quieras	S1022		_t c_ q	shopping	choice	A2	1022	phrase				tanto como	tanto																	
1023	_despite_ his complaint	_a pesar de_ su queja	S1023		_a p d_ s q	shopping	choice	A2	1023	preposition				a pesar de	a pes																	
1024	it will have _boiled_ by now	ya habrá _hervido_	S1024	infinitive: hervir:: kettle : hervidor	y h _h_	food	cooking	A2	1024	verb				hervir	hervi																	
1025	she needs _to mix_ it for longer	necesita _mezclar_lo durante más tiempo	S1025	infinitive: mezclar	n _m_l d m t	food	cooking	A2	1025	verb				mezclar	mezcl																	
1026	I will have been _frying_	habré estado _friendo_	S1026	infinitive: freír	h e _f_	food	cooking	A2	1026	verb				freír	freír																	
1027	amigo: _cool_ the wine down!	_¡enfría_ el vino_!_	S1027	infinitive: enfriar	_e_ e v	food	cooking	A2	1027	verb				enfriar	enfri																	
1028	señor: _freeze_ the meat_!_	¡_congela_ la carne!	S1028	infinitive: congelar	_c_ l c	food	cooking	A2	1028	verb				congelar	conge																	
1029	_rare_ meat	la carne _poco hecho_	S1029		l c _p h_	food	cooking	A2	1029	descriptor				poco hecho	poco 																	
1030	I need to _heat_	necesito _calentar_	S1030	infinitive: calentar	n _c_	food	cooking	A2	1030	verb				calentar	calen																	
1031	my bread is _toasted_	mi pan es _tostado_	S1031	infinitive: tostar	m p e _t_	food	cooking	A2	1031	verb				tostar	tosta																	
1032	amigo: you need _to melt_	necesitas _fundir_	S1032	infinitive: fundir	n _f_	food	cooking	A2	1032	verb				fundir	fundi																	
1033	he needs _to squeeze_ harder	necesita _apretar_ más fuerte	S1033	infinitive: apretar	n _a_ m f	food	cooking	A2	1033	verb				apretar	apret																	
1034	_store_ in a cool place!	_guardarlo_ en un lugar fresco	S1034	infinitive: guardar	_g_ e u l f	food	cooking	A2	1034	verb				guardar	guard																	
1035	_American_ technology	tecnología _estadounidense_	S1035		t _e_	countries	nationality	A2	1035	descriptor				americano	ameri																	
1036	_English_ humour	humor _inglés_	S1036		h _i_	countries	nationality	A2	1036	descriptor				inglés 	inglé																	
1037	our _Latin American_ neighbours	nuestros vecinos _latinoamericanos_	S1037		n v _l_	countries	nationality	A2	1037	descriptor				latinoamericano	latin																	
1038	a _European_ country	un país _europeo_	S1038		u p _e_	countries	nationality	A2	1038	descriptor				europeo	europ																	
1039	my _French_ friend	mi amigo _francés_	S1039		m a _f_	countries	nationality	A2	1039	descriptor				francés 	franc																	
1040	an _Arabic_ translation	una traducción _árabe_	S1040		u t _á_	countries	nationality	A2	1040	descriptor				árabe	árabe																	
1041	a _Russian_ man	un _ruso_	S1041		u _r_	countries	nationality	A2	1041	descriptor				ruso	ruso																	
1042	the _Spanish_ woman	la _española_	S1042		l _e_	countries	nationality	A2	1042	descriptor				español	españ																	
1043	morning _darling_	buenos días, _cariño_	S1043		b d _c_	relationship		A2	1043	noun				cariño	cariñ																	
1044	a long _kiss_	un largo _beso_	S1044		u l _b_	relationship		A2	1044	noun				beso	beso																	
1045	a _little kiss_	un _besito_	S1045	diminutive suffix	u _b_	relationship		A2	1045	noun				besito	besit																	
1046	_we were seeing_ each other	nos _veíamos_	S1046	infinitive: ver	n _v_	relationship		A2	1046	verb				ver	ver																	
1047	_I got engaged_ last year	me _comprometí_ el año pasado.	S1047	infinitive: comprometerse	m _c_ e a p	relationship		A2	1047	verb				comprometerse	compr																	
1048	a brief _wedding_	una _boda_ breve	S1048		u _b_ b	relationship		A2	1048	noun				boda	boda																	
1049	_to marry_ someone	_casarse_ con alguien	S1049	infinitive: casarse	_c_ c a	relationship		A2	1049	verb				casarse	casar																	
1050	a good _marriage_	un buen _matrimonio_	S1050		u b _mat_	relationship		A2	1050	noun				matrimonio	matri																	
1051	a young _bride_	una joven _novia_	S1051		u j _n_	relationship		A2	1051	noun				novia	novia																	
1052	her _ex-husband_	su _exmarido_	S1052		s _e_	relationship		A2	1052	noun				exmarido	exmar																	
1053	my _husband_	mi _esposo_	S1053		m _e_	relationship		A2	1053	noun				esposo	espos																	
1054	_he will divorce_	_se divorciará_	S1054	infinitive: divorciarse	_s d_	relationship		A2	1054	verb				divorciarse	divor																	
1055	a _group_ of tourists	un _grupo_ de turistas	S1055		u _g_ d t	relationship		A2	1055	noun				grupo	grupo																	
1056	an angry _guest_	un _invitado_ enojado	S1056	an invited	u _i_ e	relationship		A2	1056	noun				invitado	invit																	
1057	my Latin American _friend_	mi _amigo_ latinoamericano	S1057		m _a_ l	relationship		A2	1057	noun				amigo	amigo																	
1058	I'm _making friends_	estoy _haciendo amigos_	S1058	infinitive: hacer amigos	e _h a_	relationship		A2	1058	verb				hacer amigos	hacer																	
1059	_she used to fall in love_ easily	_solía enamorarse_ fácilmente	S1059	infinitive: enamorarse	_sol e_ f	relationship		A2	1059	verb				enamorarse	enamo																	
1060	may I _borrow_ some sugar	¿me _prestas_ azúcar?	S1060	infinitive: prestar::idiomatic use.  Full grammatically correct version::¿Puedo tomar prestado un poco de azúcar?"	m _p_ a	relationship		A2	1060	verb				prestar	prest																	
1061	_to do yoga_	_hacer yoga_	S1061	infinitive: hacer yoga	_h y_	daily routine	end	A2	1061	verb				hacer yoga	hacer																	
1062	I am going _to exercise_	voy a _hacer ejercicio_	S1062	infinitive: ejercer	v a _h e_	daily routine	end	A2	1062	verb				ejercer	ejerc																	
1063	_I play an instrument_	_toco un instrumento_	S1063	infinitive: tocar - play	_t u i_	daily routine	end	A2	1063	verb				tocar - play	tocar																	
1064	they are going _to play sport_	van _a hacer deporte_	S1064	infinitive: hacer deporte	v _a h d_	daily routine	end	A2	1064	verb				hacer deporte	hacer																	
1065	we are going _to practice_	vamos _a practicar_	S1065	infinitive: practicar	v _a p_	daily routine	end	A2	1065	verb				practicar	pract																	
1066	_I would study_ more but	_estudiaría_ más pero	S1066	infinitive: estudiar	_e_ m p	daily routine	end	A2	1066	verb				estudiar	estud																	
1067	please _tidy the house_	por favor _ordena la casa_	S1067	infinitive: ordenar la casa	p f _o l c_	daily routine	end	A2	1067	verb				ordenar la casa	orden																	
1068	_she would undress_	_se desnudaría_	S1068	infinitive: desnudar	_s d==n======_	daily routine	end	A2	1068	verb				desnudar	desnu																	
1069	amigos: _are you going to sleep_	_¿vais a dormir?_	S1069	infinitive: ir a dormir	_v a d_	daily routine	end	A2	1069	verb				ir a dormir	ir a 																	
1070	_they are dreaming_	_están soñando_	S1070	infinitive: soñar	_e s_	daily routine	end	A2	1070	verb				soñar	soñar																	
1071	_cherry_ flavour	sabor a _cereza_	S1071	morph	_s_ a c	food	fruit	A2	1071	noun				sabor- cereza	sabor																	
1072	shall we buy _grapes_?	¿compramos _uvas_?	S1072		c _u_	food	fruit	A2	1072	noun				uvas	uvas																	
1073	a large _melon_	una _melón_ grande	S1073		u _m_ g	food	fruit	A2	1073	noun				melón	melón																	
1074	a _raspberry_ icecream	un helado de _frambuesa_	S1074		u h d _f_	food	fruit	A2	1074	noun				frambuesa	framb																	
1075	egg and _tomato_	huevo y _tomate_	S1075		h y _t_	food	fruit	A2	1075	noun				tomate	tomat																	
1076	put some _nuts_ on it	ponle unas _nueces_	S1076	put upon it some nuts	p u _n_	food	misc	A2	1076	noun				nueces	nuece																	
1077	may I give her a _candy_?	¿puedo darle un _dulce_?	S1077		p d u _d_	food	misc	A2	1077	noun				dulce caramel	dulce																	
1078	plenty of _fat_	mucha _grasa_	S1078	grease	m _g_	food	misc	A2	1078	noun				grasa	grasa																	
1079	my ham _sandwich_	mi _sándwich_ de jamón	S1079		m _s_ d j	food	misc	A2	1079	noun				sándwich	sándw																	
1080	too _spicy_	demasiado _picante_	S1080		d _p_	food	taste	A2	1080	descriptor				picante	pican																	
1081	these _carrot_ are bad	estas _zanahorias_ están malas	S1081		e _z_ e m	food	vegetables	A2	1081	noun				zanahorias	zanah																	
1082	_mushrooms_ with onion	_setas_ con cebolla	S1082		_s_ c c	food	vegetables	A2	1082	noun				setas	setas																	
1083	more _lettuce_ please	más _lechuga_ por favor	S1083		m _l_ p f	food	vegetables	A2	1083	noun				lechuga	lechu																	
1084	fried _onion_	_cebolla_ frita	S1084		_c_ f	food	vegetables	A2	1084	noun				cebolloa	cebol																	
1085	we had just _digested_ our meal when	acabábamos de _digerir_ nuestra comida cuando	S1085	infinitive: digerir	a d _d_ n c c	food		A2	1085	verb				digerir	diger																	
1086	or this _jacket_	o esta _chaqueta_	S1086	morph	o e _c_	clothes	outside	A2	1086	noun				chaqueta	chaqu																	
1087	a summer _skirt_	una _falda_ de verano	S1087		u _f_ d v	clothes	outside	A2	1087	noun				falda	falda																	
1088	a thick _sweater_	un _suéter_ grueso	S1088	sound	u _s_ g	clothes	outside	A2	1088	noun				suéter	suéte																	
1089	a thin _blouse_	una _blusa_ fina	S1089	sound	u _b_ f	clothes	outside	A2	1089	noun				blusa	blusa																	
1090	my _backpack_ is heavy	mi _mochila_ es pesada	S1090		m _m_ e p	clothes	outside	A2	1090	noun				mochila	mochi																	
1091	a white _belt_	un _cinturón_ blanco	S1091	cintura = waist	u _c_ b	clothes	outside	A2	1091	noun				cinturón	cintu																	
1092	it feels good to _win_	se siente bien _ganar_	S1092	infinitive: ganar	s b _g_	sport		A2	1092	verb				ganar	ganar																	
1093	amigo: your favourite _player_	amigo: tu _jugador_ favorito	S1093	infinitive: jugar : to play	a t _j_ f	sport		A2	1093	noun				jugador	jugad																	
1094	the American _team_	el _equipo_ americano	S1094		e _e_ a	sport		A2	1094	noun				equipo	equip																	
1095	he can't yet _catch_ things	todavía no sabe _atrapar_ las cosas	S1095	infinitive: atrapar (objetos)::also to catch thieves etc	t n s _a_ l c	sport		A2	1095	verb				atrapar (objetos)	atrap																	
1096	I love to _swim_	me encanta _nadar_	S1096	infinitive: nadar	m e _n_	sport		A2	1096	verb				nadar	nadar																	
1097	lots of _training_	mucho _entrenamiento_	S1097	infinitive: entrenar	m _e_	sport		A2	1097	noun				entrenamiento	entre																	
1098	amigo: give me a _kick_!	dame una _patada_	S1098	infinitive: patear	d u _p_	sport		A2	1098	noun				patada	patad																	
1099	_shall we play tennis_?	¿_jugamos al tenis_?	S1099	infinitive: jugar al tenis	_j a t_	sport		A2	1099	verb				jugar al tenis	jugar																	
1100	_to play the piano_	_tocar el piano_	S1100	infinitive: tocar el piano	_t e p_	sport		A2	1100	verb				tocar el piano	tocar																	
1101	we must _run_	debemos _correr_	S1101	infinitive: correr	d _c_	sport		A2	1101	verb				correr	corre																	
1102	he used to _throw_	solía _lanzar_	S1102	infinitive: lancer	s _l_	sport		A2	1102	verb				lancer	lance																	
1103	señor: how often _do you train_?	¿con qué frecuencia _entrena_?	S1103	infinitive: entrenar	c q f _e_	sport		A2	1103	verb				entrenar	entre																	
1104	behind the _oven_	detrás del _horno_	S1104		d d _h_	home	kitchen	A2	1104	noun				horno	horno																	
1105	under the _frying pan_	debajo de la _sartén_	S1105		d d l _s_	home	kitchen	A2	1105	noun				sartén	sarté																	
1106	in the _jug_	en la _jarra_	S1106		e l _j_	home	kitchen	A2	1106	noun				jarra	jarra																	
1107	in the (kitchen) _sink_	en el _fregadero_	S1107		e e _freg_	home	kitchen	A2	1107	noun				fregadero	frega																	
1108	he will have _rinsed_	habrá _enjuagado_	S1108	infinitive: enjuagar	h _e_	home	kitchen	A2	1108	verb				enjuagar	enjua																	
1109	a sticky _tap_	un _grifo_ pegajoso	S1109	morph to grip	u _g_ p	home	kitchen	A2	1109	noun				grifo	grifo																	
1110	amigo: _twist_ the cap to open it_!_	_¡torce_ la tapa para abrirla_!_	S1110	infinitive: torcer	_t_ l t p a	home	kitchen	A2	1110	verb				torcer	torce																	
1111	next to the _teapot_	junto a la _tetera_	S1111		j a l _t_	home	kitchen	A2	1111	noun				tetera	teter																	
1112	a new _ice tray_	una _hiera_ nueva	S1112		u _h_ n	home	kitchen	A2	1112	noun				hiera	hiera																	
1113	sharp _scissors_	_tijeras_ afiladas	S1113		_t_ a	home	tech	A2	1113	noun				tijeras	tijer																	
1114	instead of this _language_	en lugar de este _idioma_	S1114		e l d e _i_	language	language	A2	1114	noun				idioma	idiom																	
1115	a _letter_ for each word	una _letra_ para cada palabra	S1115		u _l_ p c p	language	language	A2	1115	noun				letra	letra																	
1116	_nouns_ tend to be easiest	los _sustantivos_ suelen ser más fáciles	S1116	substantive	l _s_ s s m f	language	language	A2	1116	noun				sustantivos	susta																	
1117	a reflexive _verb_	un _verbo_ reflexivo	S1117		u _v_ r	language	language	A2	1117	noun				verbo	verbo																	
1118	we only need _to conjugate_ the first verb	sólo necesitamos _conjugar_ el primer verbo	S1118	infinitive: conjugar	s n _c_ e p v	language	language	A2	1118	verb				conjugar	conju																	
1119	_adjectives_ agree with nouns	_adjetivos_ concuerdan con sustantivos	S1119	morph	_a_ c c s	language	language	A2	1119	noun				adjetivos	adjet																	
1120	_adverb_ agree with nouns	los _adverbios_ concuerdan con los sustantivos	S1120		l _a_ c c l s	language	language	A2	1120	noun				adverbios	adver																	
1121	a _feminine_ idea	una idea _femenina_	S1121		u i _f_	language	language	A2	1121	descriptor				femenino	femen																	
1122	a _masculine_ action	una acción _masculina_	S1122		u a _m_	language	language	A2	1122	descriptor				masculino	mascu																	
1123	I will have _translated_	habré _traducido_	S1123	infinitive: traducir	h _t_	language	speaking	A2	1123	verb				traducir	tradu																	
1124	you have to _pronounce_	hay que _pronunciar_	S1124	infinitive: pronunciar	h q _p_	language	speaking	A2	1124	verb				pronunciar	pronu																	
1125	always _improving_	siempre _mejorando_	S1125	infinitive: mejorar	s _m_	judgement	misc	A2	1125	descriptor				mejorando	mejor																	
1126	a _boring_ afternoon	una tarde _aburrida_	S1126	infinitive: aburrir	u t _a_	judgement		A2	1126	descriptor				aburrido	aburr																	
1127	a _super_ visit	una _super_ visita	S1127		u _s_ v	judgement		A2	1127	descriptor				genial	genia																	
1128	a _terrible_ idea	una idea _terrible_	S1128		u i _t_	judgement		A2	1128	descriptor				terrible 	terri																	
1129	a _foolish_ thought	un pensamiento _tonto_	S1129		u p _t_	judgement		A2	1129	descriptor				tonto	tonto																	
1130	an unfortunate _moment_	un _momento_ desafortunado	S1130		u _m_ d	judgement		A2	1130	noun				momento	momen																	
1131	the _incorrect_ change	el cambio _incorrecto_	S1131		e c _i_	judgement		A2	1131	descriptor				incorrecto	incor																	
1132	my current _location_	mi _ubicación_ actual	S1132	infinitive: ubicar : to locate / place / situate	m _u_ a	location	location	A2	1132	noun				ubicación	ubica																	
1133	_distant_ places	lugares _distantes_	S1133		l _d_	location	location	A2	1133	descriptor				distante	dista																	
1134	_away from_ the beach	_fuera de_ la playa	S1134	far away = sound	_f d_ l p	location	location	A2	1134	preposition				fuera de	fuera																	
1135	_beyond_ the sea	_más allá de_l mar	S1135		_m a d_ m	location	location	A2	1135	preposition				más allá de	más a																	
1136	_on the way_ to work	_de camino_ al trabajo	S1136		_d c_ a t	location	location	A2	1136	preposition				de camino	de ca																	
1137	_via_ the airport	_vía_ el aeropuerto	S1137		_v_ e a	location	location	A2	1137	preposition				vía	vía																	
1138	_local_ shops	tiendas _locales_	S1138		t _l_	location	location	A2	1138	descriptor				locales	local																	
1139	_low_ cloud	nube _baja_	S1139	baja California	n _b_	location	location	A2	1139	descriptor				bajo  3	bajo 																	
1140	the _top_ of the world	la _cima_ del mundo	S1140	climax	l _c_ d m	location	location	A2	1140	noun				cima	cima																	
1141	in the _upper_ part of the picture	en la parte _superior_ de la imagen.	S1141		e l p _s_ d l i	location		A2	1141	descriptor				superior 	super																	
1142	the _lower_ part of the picture	la parte _inferior_ de la imagen	S1142		l p _i_ d l i	location		A2	1142	descriptor				inferior 	infer																	
1143	the _common_ areas	las áreas _comunes_	S1143		l á _c_	location		A2	1143	descriptor				común 	común																	
1144	I have been well _educated_	he sido bien _educado_	S1144	infinitive: educar	h s b _e_	education	a_gen	A2	1144	verb				educar	educa																	
1145	we should _examine_  the facts	deberíamos _examinar_ los hechos	S1145	infinitive: examinar	d _e_ l h	education	a_gen	A2	1145	verb				examinar	exami																	
1146	señoras : _underline_ the picture_!_	_¡subrayen_ la foto_!_	S1146	infinitive: subrayar	_s_ l f	education	a_gen	A2	1146	verb				subrayar	subra																	
1147	a _classroom_	una _salón de clase_	S1147		u _s d c_	education	classroom	A2	1147	noun				salón de clase	salón																	
1148	a short _lesson_	una _lección_ breve	S1148		u _l_ b	education	classroom	A2	1148	noun				lección	lecci																	
1149	a large _black board_	una _pizarra_ grande	S1149		u _p_ g	education	classroom	A2	1149	noun				pizarra	pizar																	
1150	your _homework_ looks hard	tus _tareas_ parecen difíciles	S1150	infinitive: tarear : to task someone with something	t _t_ p d	education	classroom	A2	1150	noun				tareas	tarea																	
1151	their _grade (mark)_	su _nota_	S1151	infinitive: notar	s _n_	education	classroom	A2	1151	noun				nota grade	nota 																	
1152	_to do homework_	_hacer_ los deberes	S1152	infinitive: hacer los deberes	_h_ l d	education	classroom	A2	1152	verb				hacer los deberes	hacer																	
1153	señor: you should _subtract_	debería _restar_	S1153	infinitive: restar	d _r_	education	maths	A2	1153	verb				restar	resta																	
1154	amigo: _count_ it_!_	_¡cuéntalo!_	S1154	infinitive: contar	_c_	education	maths	A2	1154	verb				contar	conta																	
1155	amigo: _sum_ these numbers	_¡suma_ estos números!	S1155	infinitive: sumar	_s_ e n	education	maths	A2	1155	verb				sumar	sumar																	
1156	our final _exams_	nuestros _exámenes_ finales	S1156	infinitive: examinar	n _e_ f	education	misc	A2	1156	noun				exámenes	exáme																	
1157	amigo: you would have _complained_	habrías _quejado_	S1157	infinitive: quejarse	h _q_	problems	problems	A2	1157	verb				quejarse	queja																	
1158	a fair _complaint_	una _queja_ justa	S1158	infinitive: quejar : to complain	u _q_ j	problems	problems	A2	1158	noun				queja	queja	===																
1159	amigo: you will have _solved_	habrás _resuelto_	S1159	infinitive: resolver	a h _r_	problems	problems	A2	1159	verb				resolver	resol																	
1160	pardon the _trouble_	perdone la _molestia_	S1160	also disturbance	p l _m_	problems		A2	1160	noun				molestia	moles																	
1161	a small _inconvenience_	un pequeño _inconveniente_	S1161		u p _i_	problems		A2	1161	noun				inconveniente inconvenience	incon																	
1162	we are having _dificulties_	tenemos _dificultades_	S1162		t _d_	problems		A2	1162	noun				dificultades	dific																	
1163	an unfortunate _mistake_	un _error_ desafortunado	S1163		u _e_ d	problems		A2	1163	noun				error	error																	
1164	the _failure_ caused problems	el _fallo_ causó problemas	S1164		e _f_ c p	problems		A2	1164	noun				fallo	fallo																	
1165	it would be _inconvenient_	sería _inconveniente_	S1165		s _i_	problems		A2	1165	descriptor				inconveniente inconvenient	incon																	
1166	it is an _emergency_	es una _emergencia_	S1166	cy => cia morph	e u _e_	problems		A2	1166	noun				emergencia	emerg																	
1167	an _urgent_ phone call	una llamada _urgente_	S1167		u l _u_	problems		A2	1167	descriptor				urgente	urgen																	
1168	a _complicated_ explanation	una explicación _complicada_	S1168	morph	u e _c_	problems		A2	1168	descriptor				complicado	compl																	
1169	it is _doubtful_ that	es _dudoso_ que	S1169	infinitive: dudar	e _d_ q	problems		A2	1169	descriptor				dudoso	dudos																	
1170	as a _consequence_	como _consecuencia_	S1170	ence => encia morph	c _c_	problems		A2	1170	noun				consecuencia	conse																	
1171	a  considerable _risk_	un _riesgo_ considerable	S1171	morph	u _r_ c	problems		A2	1171	noun				riesgo	riesg																	
1172	they will _cause_ trouble	_causarán_ problemas	S1172	infinitive: provocar	_c_ p	problems		A2	1172	verb				provocar	provo																	
1173	probably _it will result_	probablemente _resultará_	S1173	infinitive: to result	p _r_	problems		A2	1173	verb				to result	to re																	
1174	_I repaired_ it myself	_lo reparé_ yo mismo	S1174	infinitive: reparar	_l r_ y m	problems		A2	1174	verb				reparar	repar																	
1175	a fortunate _result_	un _resultado_ afortunado	S1175	infinitive: resultar	u _r_ a	problems		A2	1175	noun				resultado	resul																	
1176	_to continue to be_	_seguir ser_	S1176	also “is still”::example: it is still broken	_s s_	problems		A2	1176																							
1177	_gradually_ improving	_gradualmente_ mejorando	S1177	suffix	_g_ m	process		A2	1177	descriptor				gradualmente 	gradu																	
1178	to learn _efficiently_	aprender _ eficazmente_	S1178	efficacious, efficiently achieving an effect	a _ e====z====_	process		A2	1178	descriptor				eficazmente	efica																	
1179	more _effective_	más _eficaz_	S1179		m _e_	process		A2	1179	descriptor				eficaz	efica	===																
1180	very _efficient_	muy _eficientes_	S1180		m _e_	process		A2	1180	descriptor				eficiente	efici																	
1181	we need _to empty_ the car	necesitamos _vaciar_ el coche	S1181	infinitive: vaciar	n _v_ e c	shopping	container	A2	1181	verb				vaciar	vacia																	
1182	how much are the _shopping carts_	cuanto cuestan los _carritos_?	S1182	diminutive suffix	c c l _c_?	shopping	containers	A2	1182	noun				carritos	carri																	
1183	_it_ won't _fit_	no _cabe_	S1183	infinitive: caber	_n c_	shopping	containers	A2	1183	verb				encajar	encaj																	
1184	we ought _to carry_ it	_deberíamos_ llevarlo	S1184	infinitive: levantar carry	_d_ l	shopping	misc	A2	1184	verb				levantar carry	levan																	
1185	can I _fill_ it?	¿puedo _llenar_lo?	S1185	infinitive: llenar	p _l_ l	shopping	misc	A2	1185	verb				llenar	llena																	
1186	they should _display_ the price	deberían _mostrar_ el precio	S1186	infinitive: mostrar	d _m_ e p	shopping	misc	A2	1186	verb				mostrar	mostr																	
1187	when does the _sale_ stop?	¿cuándo termina la _venta_?	S1187	infinitive: vender : to sale	c t l _v_	shopping	money	A2	1187	noun				venta	venta																	
1188	a student _discount_	un _descuento_ para estudiantes	S1188	morph	u _d_ p e	shopping	money	A2	1188	noun				descuento	descu																	
1189	my _receipt_	mi _recibo_	S1189	receive	m _r_	shopping	money	A2	1189	noun				recibo	recib																	
1190	the _label_ is complicated	la _etiqueta_ es complicada	S1190		l _e_ e c	shopping	money	A2	1190	noun				etiqueta	etiqu																	
1191	I would like _to offer_	me gustaría _ofrecer_	S1191	infinitive: offrecer	m g _o_	shopping	money	A2	1191	verb				offrecer	offre																	
1192	we used to _order_	solíamos _pedir_	S1192	infinitive: pedir	s _p_	shopping	money	A2	1192	verb				pedir	pedir																	
1193	they would often _discount_ (in the past)	a menudo _descontaban_	S1193	infinitive: descontar	a m _d_	shopping	money	A2	1193	verb				descontar	desco																	
1194	an empty _purse_	una _cartera_ vacía	S1194	most widely used term	u _c_ v	shopping	money	A2	1194	noun				bolso	bolso																	
1195	the wrong _change_	el _cambio_ equivocado	S1195	as per English, it also means <<change>> in a general sense	e _c_ e	shopping	money	A2	1195	noun				cambio	cambi																	
1196	a bank_account_	una _cuenta_ bancaria	S1196	morph	u _c_ b	shopping	money	A2	1196	noun				cuenta account	cuent																	
1197	some other _object_	algún otro _objeto_	S1197	morph	a o _o_	objects	a_gen	A2	1197	noun				objeto	objet																	
1198	a _shiny_ object	un objeto _brillante_	S1198		u o _b_	objects	colour	A2	1198	descriptor				brillante  shiny	brill																	
1199	_brown_ hair	pelo _marrón_	S1199		 p _m_	objects	colour	A2	1199	descriptor				marrón	marró																	
1200	a _pink_ tongue	una lengua _rosa_	S1200		u l _r_	objects	colour	A2	1200	descriptor				rose	rose																	
1201	a _sharp_ knife	un cuchillo _afilado_	S1201	infinitive: afilar : to sharpen	u c _a_	objects	dimension	A2	1201	descriptor				afilado	afila																	
1202	with a _heavy_ heart	con un corazón _pesado_	S1202	infinitive: pesar : to weigh	c u c _p_	objects	dimension	A2	1202	descriptor				pesado	pesad																	
1203	one _piece_ less	una _pieza_ menos	S1203		u _pi_ m	objects	dimension	A2	1203	noun				pieza	pieza																	
1204	a _serrated_ knife	un cuchillo _aserrado_	S1204	ASSERAR = to saw		objects	dimension	A2	1204	noun				delicate	delic																	
1205	an _enormous_ dinner	una cena _enorme_	S1205		u c _e_	objects	dimensions	A2	1205	descriptor				enorme	enorm																	
1206	the _appearance_ of choice	la _apariencia_ de la elección	S1206	morph	l _a_ d l e	objects	general	A2	1206	noun				apariencia	apari																	
1207	a _light_ apartment	un apartamento _luminoso_	S1207	also luminous	u a _l_	objects	general	A2	1207	descriptor				luminoso (lux)	lumin																	
1208	this _flat_ world	este mundo _plano_	S1208	plane	e m _p_	objects	geometry	A2	1208	descriptor				plano	plano																	
1209	_round_ planets	planetas _redondos_	S1209	planeta is masculine despite the spelling	p _r_	objects	geometry	A2	1209	descriptor				redondo	redon																	
1210	the longer _side_	el _lado_ más largo	S1210	lateral	e _l_ m l	objects	geometry	A2	1210	noun				lado	lado																	
1211	a _spacious_ kitchen	una cocina _espaciosa_	S1211		u c _e_	objects	kitchen	A2	1211	descriptor				espacioso	espac																	
1212	the _beauty_ of space	la _belleza_ del espacio	S1212		l _b_ d e	objects	misc	A2	1212	noun				belleza	belle																	
1213	_smooth_ skin	piel _lisa_	S1213	infinitive: alisar : to smooth out (surface)	p _l_	objects	misc	A2	1213	descriptor				liso	liso																	
1214	a _steep_ road	una calle _empinada_	S1214	infinitive: empinar : to raise / lift / elevate / tilt	u c==== _e_	objects	misc	A2	1214	descriptor				empinada	empin																	
1215	despite being _ugly_	a pesar de ser _feo_	S1215		a p d s _f_	objects	status	A2	1215	descriptor				feo	feo																	
1216	_hot_ coffee, ready to enjoy! (a bit hot, not scalding)	 café _calentito_, listo para disfrutar!	S1216	diminutive suffix	 c _c_, l p d	objects	temperature	A2	1216	descriptor				calentito	calen																	
1217	although it is _invisible_	a pesar de ser _invisible_	S1217		a p d s _i_	objects	visibility	A2	1217	descriptor				invisible	invis																	
1218	amigos:  you used to _disappear_	solías _desaparecer_	S1218	infinitive: desaparacer	s _d_	objects	visibility	A2	1218	verb				desaparacer	desap																	
1219	_they used to cover_	_cubrían_	S1219	infinitive: cubrir	_c_	objects	visibility	A2	1219	verb				cubrir	cubri																	
1220	_hidden_ in plain sight	_escondido_ a plena vista	S1220	infinitive: esconder	_e_ a p v	objects	visibility	A2	1220	verb				esconder	escon																	
1221	an opportunity to _hide_	una oportunidad para _esconderse_	S1221	infinitive: esconderse	u op p _e_	objects	visibility	A2	1221	verb				esconderse	escon	===																
